Ref,x,y,Connectivity,Point First Moment,Point Second Moment
65592,0.6800000,7.0400000,91.0000000,28.6915131,11.3199997
65593,0.6800000,7.0800000,102.0000000,38.3751945,22.0767994
65594,0.6800000,7.1200000,135.0000000,73.0110092,62.7312012
65595,0.6800000,7.1600000,136.0000000,72.0546722,61.1968002
65596,0.6800000,7.2000000,106.0000000,42.2361259,26.4064007
65597,0.6800000,7.2400000,84.0000000,27.2274475,11.8240004
65599,0.6800000,7.3200000,81.0000000,22.3448830,7.3119998
65600,0.6800000,7.3600000,89.0000000,23.4304028,7.4815998
65601,0.6800000,7.4000000,91.0000000,23.3299618,7.2992001
65602,0.6800000,7.4400000,90.0000000,23.0282955,7.2096000
65603,0.6800000,7.4800000,84.0000000,22.4138927,7.2863998
65604,0.6800000,7.5200000,82.0000000,23.0409889,7.7199998
65606,0.6800000,7.6000000,87.0000000,38.3402824,26.3136005
65607,0.6800000,7.6400000,97.0000000,44.3659859,32.1248016
65608,0.6800000,7.6800000,108.0000000,51.7831612,38.5056000
65609,0.6800000,7.7200000,109.0000000,53.2446976,39.5919991
65610,0.6800000,7.7600000,95.0000000,38.6977234,23.2639999
131128,0.7200000,7.0400000,102.0000000,32.7699928,13.7440004
131129,0.7200000,7.0800000,113.0000000,40.9581032,22.4864006
131130,0.7200000,7.1200000,145.0000000,73.2556610,59.7855988
131131,0.7200000,7.1600000,143.0000000,70.4843979,57.2719994
131132,0.7200000,7.2000000,115.0000000,40.4327698,22.9568005
131133,0.7200000,7.2400000,100.0000000,27.0237026,9.5056000
131135,0.7200000,7.3200000,96.0000000,23.9567451,7.1680002
131136,0.7200000,7.3600000,100.0000000,23.6030254,6.7919998
131137,0.7200000,7.4000000,99.0000000,23.0241947,6.5760002
131138,0.7200000,7.4400000,101.0000000,23.5522823,6.7440000
131139,0.7200000,7.4800000,99.0000000,23.6815186,6.9759998
131140,0.7200000,7.5200000,84.0000000,21.6885700,6.8175998
131142,0.7200000,7.6000000,102.0000000,39.8090858,25.3631992
131143,0.7200000,7.6400000,111.0000000,45.5470543,30.5680008
131144,0.7200000,7.6800000,120.0000000,53.0930290,36.9743996
131145,0.7200000,7.7200000,122.0000000,55.9053917,38.9071999
131146,0.7200000,7.7600000,107.0000000,43.0136719,25.2063999
196664,0.7600000,7.0400000,102.0000000,30.4593773,12.1007996
196665,0.7600000,7.0800000,112.0000000,37.2661629,19.3775997
196666,0.7600000,7.1200000,149.0000000,72.0229111,57.1119995
196667,0.7600000,7.1600000,148.0000000,68.9841614,53.7952003
196668,0.7600000,7.2000000,124.0000000,40.5859489,21.2352009
196669,0.7600000,7.2400000,117.0000000,30.8965702,10.6496000
