Ref,x,y,Connectivity,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
38,0.6600000,7.0800000,39.0000000,3.1210539,2.9476385,2.4979751,1866.0000000,16.1400070,10.4219999
39,0.6600000,7.1400000,46.0000000,3.0592835,2.9421945,2.5196922,1866.0000000,24.5911846,21.4307995
40,0.6600000,7.2000000,35.0000000,3.0133913,2.9448831,2.5429115,1866.0000000,14.1554079,8.9387999
42,0.6600000,7.3200000,35.0000000,3.6146576,2.9763923,2.5937293,1866.0000000,9.3400326,2.9663999
43,0.6600000,7.3800000,40.0000000,3.1423221,2.9974015,2.6212986,1866.0000000,10.2081585,3.1680000
44,0.6600000,7.4400000,35.0000000,3.2702165,3.0389690,2.6503134,1866.0000000,8.5191040,2.5739999
45,0.6600000,7.5000000,35.0000000,3.3714812,3.0863745,2.6807427,1866.0000000,9.3400326,2.9663999
47,0.6600000,7.6200000,41.0000000,4.4980249,3.2298737,2.7455752,1866.0000000,21.5028973,17.5104008
48,0.6600000,7.6800000,44.0000000,4.0240855,3.2523708,2.7798841,1866.0000000,20.7155571,15.2964001
49,0.6600000,7.7400000,43.0000000,3.8348594,3.2977507,2.8154132,1866.0000000,19.4890537,13.2659998
65574,0.7200000,7.0800000,42.0000000,3.1262906,2.8897932,2.4494576,1866.0000000,15.9901514,9.6912003
65575,0.7200000,7.1400000,52.0000000,3.0499222,2.8835990,2.4714913,1866.0000000,25.0028915,20.0268002
65576,0.7200000,7.2000000,42.0000000,2.9773252,2.8856754,2.4950666,1866.0000000,14.4662867,8.3808002
65578,0.7200000,7.3200000,41.0000000,3.1450958,2.9183285,2.5467005,1866.0000000,9.3273106,2.5488000
65579,0.7200000,7.3800000,42.0000000,3.3349903,2.9623008,2.5747240,1866.0000000,8.9652472,2.3508000
65580,0.7200000,7.4400000,42.0000000,3.4200163,3.0119362,2.6042299,1866.0000000,8.9652472,2.3508000
65581,0.7200000,7.5000000,40.0000000,3.4601896,3.0628936,2.6351864,1866.0000000,8.9661274,2.4300001
65583,0.7200000,7.6200000,48.0000000,3.7132907,3.1701655,2.7011600,1866.0000000,20.6335506,14.6160002
65584,0.7200000,7.6800000,49.0000000,3.4967859,3.2217968,2.7360833,1866.0000000,20.8043900,14.1624002
65585,0.7200000,7.7400000,47.0000000,3.5681319,3.2645454,2.7722585,1866.0000000,19.8626862,12.7872000
131110,0.7800000,7.0800000,47.0000000,3.1387815,2.8326256,2.4019065,1866.0000000,16.9679527,9.3240004
131111,0.7800000,7.1400000,55.0000000,3.0505393,2.8257985,2.4242899,1866.0000000,24.5268040,18.4032001
131112,0.7800000,7.2000000,48.0000000,2.9634998,2.8285327,2.4482405,1866.0000000,15.6037054,8.2116003
131113,0.7800000,7.2600000,45.0000000,2.8742712,2.8402731,2.4737337,1866.0000000,11.0635777,3.5208001
131114,0.7800000,7.3200000,46.0000000,3.6149209,2.8940814,2.5007184,1866.0000000,9.5183420,2.3759999
131115,0.7800000,7.3800000,46.0000000,3.6141622,2.9481008,2.5292106,1866.0000000,9.0021734,2.1240001
131116,0.7800000,7.4400000,45.0000000,3.6162620,3.0018089,2.5592134,1866.0000000,8.6790638,2.0195999
131117,0.7800000,7.5000000,47.0000000,3.6149650,3.0546856,2.5906918,1866.0000000,9.8242826,2.4696000
131118,0.7800000,7.5600000,31.0000000,3.6219337,3.1072688,2.6235800,1866.0000000,6.8200483,1.9188000
131119,0.7800000,7.6200000,56.0000000,3.5814669,3.1586556,2.6577969,1866.0000000,21.1844788,12.8196001
131120,0.7800000,7.6800000,53.0000000,3.6472456,3.2007489,2.6933265,1866.0000000,21.5900478,14.2019997
131121,0.7800000,7.7400000,50.0000000,3.3054135,3.2301607,2.7301271,1866.0000000,19.5657730,11.7215996
196646,0.8400000,7.0800000,34.0000000,3.1614492,2.7763424,2.3553994,1866.0000000,8.7625027,3.6143999
196647,0.8400000,7.1400000,46.0000000,3.0570707,2.7688174,2.3781619,1866.0000000,19.1609612,14.5080004
196648,0.8400000,7.2000000,36.0000000,2.9604347,2.7729592,2.4025207,1866.0000000,10.6872625,5.9580002
196650,0.8400000,7.3200000,36.0000000,4.5633278,2.9508777,2.4558742,1866.0000000,7.1586061,1.7460001
196651,0.8400000,7.3800000,35.0000000,4.0955591,2.9718840,2.4848359,1866.0000000,5.9324508,1.2348000
196652,0.8400000,7.4400000,38.0000000,3.9134140,3.0160172,2.5153375,1866.0000000,6.8484983,1.5264000
196653,0.8400000,7.5000000,35.0000000,3.8586071,3.0668869,2.5473466,1866.0000000,6.9112196,1.6848000
196655,0.8400000,7.6200000,38.0000000,3.5528052,3.1716688,2.6155677,1866.0000000,13.4434328,8.0388002
196656,0.8400000,7.6800000,46.0000000,3.4084079,3.1663480,2.6516790,1866.0000000,17.8495865,11.8727999
196657,0.8400000,7.7400000,41.0000000,3.2907088,3.1739144,2.6890805,1866.0000000,13.1375475,6.8867998
262149,0.9000000,5.1000000,80.0000000,1.4983544,2.6672354,2.3936329,1866.0000000,32.7376480,16.2684002
262150,0.9000000,5.1600000,91.0000000,1.4671518,2.6404738,2.3665011,1866.0000000,45.3013039,34.5383987
262151,0.9000000,5.2200000,90.0000000,1.5157052,2.6179600,2.3408310,1866.0000000,43.3308983,33.1559982
262152,0.9000000,5.2800000,80.0000000,1.5854677,2.6001120,2.3166747,1866.0000000,29.5181522,14.7636003
262153,0.9000000,5.3400000,75.0000000,1.6806240,2.5893962,2.2940705,1866.0000000,26.0467854,11.6280003
262154,0.9000000,5.4000000,74.0000000,1.7667600,2.5831840,2.2730432,1866.0000000,26.8338585,12.2508001
262155,0.9000000,5.4600000,72.0000000,1.9387909,2.5867736,2.2536039,1866.0000000,27.1381683,12.1859999
262172,0.9000000,6.4800000,25.0000000,2.1106396,2.5202608,2.1589398,1866.0000000,9.6348734,5.9544001
262173,0.9000000,6.5400000,19.0000000,2.0673988,2.5072978,2.1672142,1866.0000000,3.6395299,0.9828000
262174,0.9000000,6.6000000,16.0000000,2.2483001,2.5176475,2.1770647,1866.0000000,2.3292317,0.4212000
262175,0.9000000,6.6600000,13.0000000,2.3527117,2.5328264,2.1884847,1866.0000000,1.9536176,0.3420000
262176,0.9000000,6.7200000,7.0000000,2.6022553,2.5408149,2.2014651,1866.0000000,0.8961399,0.1440000
262177,0.9000000,6.7800000,10.0000000,2.1155756,2.5415223,2.2159870,1866.0000000,1.6953499,0.3636000
262182,0.9000000,7.0800000,31.0000000,3.1927609,2.7211566,2.3100002,1866.0000000,6.3124990,1.6668000
262183,0.9000000,7.1400000,44.0000000,3.0630972,2.7125962,2.3331695,1866.0000000,17.4734631,12.6107998
262184,0.9000000,7.2000000,32.0000000,2.9413230,2.7185969,2.3579562,1866.0000000,7.6784205,3.0852001
262186,0.9000000,7.3200000,34.0000000,4.5703354,3.0086522,2.4122150,1866.0000000,6.5811424,1.5804000
262187,0.9000000,7.3800000,32.0000000,4.2969484,3.0197742,2.4416549,1866.0000000,5.0227079,0.9540000
262188,0.9000000,7.4400000,31.0000000,4.1150928,3.0516026,2.4726598,1866.0000000,4.6385207,0.8064000
262189,0.9000000,7.5000000,34.0000000,4.0141058,3.0948007,2.5051951,1866.0000000,6.5811424,1.5804000
262191,0.9000000,7.6200000,38.0000000,3.5772266,3.1175976,2.5745113,1866.0000000,12.6207113,7.0128002
262192,0.9000000,7.6800000,41.0000000,3.4224057,3.1108866,2.6111875,1866.0000000,15.3991566,9.9252005
