Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
38,0.66000000,7.08000000,1.97667825,1866.00000000,3688.48168945,39.00000000,16.14000702,10.42199993
39,0.66000000,7.14000000,1.94568992,1866.00000000,3630.65747070,46.00000000,24.59118462,21.43079948
40,0.66000000,7.20000000,1.95015824,1866.00000000,3638.99536133,35.00000000,14.15540791,8.93879986
42,0.66000000,7.32000000,2.66775155,1866.00000000,4978.02441406,35.00000000,9.34003258,2.96639991
43,0.66000000,7.38000000,2.20062089,1866.00000000,4106.35839844,40.00000000,10.20815849,3.16799998
44,0.66000000,7.44000000,2.32350826,1866.00000000,4335.66650391,35.00000000,8.51910400,2.57399988
45,0.66000000,7.50000000,2.41505575,1866.00000000,4506.49414062,35.00000000,9.34003258,2.96639991
47,0.66000000,7.62000000,2.30726242,1866.00000000,4305.35156250,41.00000000,21.50289726,17.51040077
48,0.66000000,7.68000000,2.21914458,1866.00000000,4140.92382812,44.00000000,20.71555710,15.29640007
49,0.66000000,7.74000000,2.14508271,1866.00000000,4002.72436523,43.00000000,19.48905373,13.26599979
65574,0.72000000,7.08000000,1.97760308,1866.00000000,3690.20727539,42.00000000,15.99015141,9.69120026
65575,0.72000000,7.14000000,1.93627572,1866.00000000,3613.09057617,52.00000000,25.00289154,20.02680016
65576,0.72000000,7.20000000,1.92783344,1866.00000000,3597.33715820,42.00000000,14.46628666,8.38080025
65578,0.72000000,7.32000000,2.20511603,1866.00000000,4114.74658203,41.00000000,9.32731056,2.54879999
65579,0.72000000,7.38000000,2.39446163,1866.00000000,4468.06542969,42.00000000,8.96524715,2.35080004
65580,0.72000000,7.44000000,2.47453403,1866.00000000,4617.48046875,42.00000000,8.96524715,2.35080004
65581,0.72000000,7.50000000,2.51670265,1866.00000000,4696.16699219,40.00000000,8.96612740,2.43000007
65583,0.72000000,7.62000000,2.28876638,1866.00000000,4270.83789062,48.00000000,20.63355064,14.61600018
65584,0.72000000,7.68000000,2.19795632,1866.00000000,4101.38671875,49.00000000,20.80438995,14.16240025
65585,0.72000000,7.74000000,2.11935830,1866.00000000,3954.72265625,47.00000000,19.86268616,12.78719997
131110,0.78000000,7.08000000,1.98403013,1866.00000000,3702.20019531,47.00000000,16.96795273,9.32400036
131111,0.78000000,7.14000000,1.93809986,1866.00000000,3616.49438477,55.00000000,24.52680397,18.40320015
131112,0.78000000,7.20000000,1.93324137,1866.00000000,3607.42846680,48.00000000,15.60370541,8.21160030
131113,0.78000000,7.26000000,1.92987621,1866.00000000,3601.14892578,45.00000000,11.06357765,3.52080011
131114,0.78000000,7.32000000,2.67308378,1866.00000000,4987.97412109,46.00000000,9.51834202,2.37599993
131115,0.78000000,7.38000000,2.67305827,1866.00000000,4987.92675781,46.00000000,9.00217342,2.12400007
131116,0.78000000,7.44000000,2.67310667,1866.00000000,4988.01708984,45.00000000,8.67906380,2.01959991
131117,0.78000000,7.50000000,2.67293262,1866.00000000,4987.69238281,47.00000000,9.82428265,2.46959996
131118,0.78000000,7.56000000,2.66732550,1866.00000000,4977.22949219,31.00000000,6.82004833,1.91880000
131119,0.78000000,7.62000000,2.28699660,1866.00000000,4267.53564453,56.00000000,21.18447876,12.81960011
131120,0.78000000,7.68000000,2.20258307,1866.00000000,4110.02001953,53.00000000,21.59004784,14.20199966
131121,0.78000000,7.74000000,2.11560774,1866.00000000,3947.72412109,50.00000000,19.56577301,11.72159958
196646,0.84000000,7.08000000,2.00741792,1866.00000000,3745.84179688,34.00000000,8.76250267,3.61439991
196647,0.84000000,7.14000000,1.94775820,1866.00000000,3634.51684570,46.00000000,19.16096115,14.50800037
196648,0.84000000,7.20000000,1.94816673,1866.00000000,3635.27905273,36.00000000,10.68726254,5.95800018
196650,0.84000000,7.32000000,3.30783415,1866.00000000,6172.41845703,36.00000000,7.15860605,1.74600005
196651,0.84000000,7.38000000,3.13116908,1866.00000000,5842.76171875,35.00000000,5.93245077,1.23479998
196652,0.84000000,7.44000000,2.95816088,1866.00000000,5519.92822266,38.00000000,6.84849834,1.52639997
196653,0.84000000,7.50000000,2.90133476,1866.00000000,5413.89062500,35.00000000,6.91121960,1.68480003
196655,0.84000000,7.62000000,2.34517622,1866.00000000,4376.09863281,38.00000000,13.44343281,8.03880024
196656,0.84000000,7.68000000,2.22148013,1866.00000000,4145.28173828,46.00000000,17.84958649,11.87279987
196657,0.84000000,7.74000000,2.11973810,1866.00000000,3955.43115234,41.00000000,13.13754749,6.88679981
262149,0.90000000,5.10000000,1.10212898,1866.00000000,2056.57275391,80.00000000,32.73764801,16.26840019
262150,0.90000000,5.16000000,1.07203257,1866.00000000,2000.41271973,91.00000000,45.30130386,34.53839874
262151,0.90000000,5.22000000,1.11295533,1866.00000000,2076.77465820,90.00000000,43.33089828,33.15599823
262152,0.90000000,5.28000000,1.17133570,1866.00000000,2185.71240234,80.00000000,29.51815224,14.76360035
262153,0.90000000,5.34000000,1.24788129,1866.00000000,2328.54638672,75.00000000,26.04678535,11.62800026
262154,0.90000000,5.40000000,1.33210397,1866.00000000,2485.70605469,74.00000000,26.83385849,12.25080013
262155,0.90000000,5.46000000,1.43431032,1866.00000000,2676.42309570,72.00000000,27.13816833,12.18599987
262172,0.90000000,6.48000000,1.35724652,1866.00000000,2532.62207031,25.00000000,9.63487339,5.95440006
262173,0.90000000,6.54000000,1.42032278,1866.00000000,2650.32226562,19.00000000,3.63952994,0.98280001
262174,0.90000000,6.60000000,1.60606945,1866.00000000,2996.92553711,16.00000000,2.32923174,0.42120001
262175,0.90000000,6.66000000,1.68338847,1866.00000000,3141.20288086,13.00000000,1.95361757,0.34200001
262176,0.90000000,6.72000000,1.64301574,1866.00000000,3065.86743164,7.00000000,0.89613986,0.14399999
262177,0.90000000,6.78000000,1.40617132,1866.00000000,2623.91577148,10.00000000,1.69534993,0.36359999
262182,0.90000000,7.08000000,2.02923703,1866.00000000,3786.55615234,31.00000000,6.31249905,1.66680002
262183,0.90000000,7.14000000,1.95466840,1866.00000000,3647.41113281,44.00000000,17.47346306,12.61079979
262184,0.90000000,7.20000000,1.94903708,1866.00000000,3636.90307617,32.00000000,7.67842054,3.08520007
262186,0.90000000,7.32000000,3.46851945,1866.00000000,6472.25732422,34.00000000,6.58114243,1.58039999
262187,0.90000000,7.38000000,3.35076594,1866.00000000,6252.52929688,32.00000000,5.02270794,0.95400000
262188,0.90000000,7.44000000,3.17119360,1866.00000000,5917.44726562,31.00000000,4.63852072,0.80640000
262189,0.90000000,7.50000000,3.05786753,1866.00000000,5705.98095703,34.00000000,6.58114243,1.58039999
262191,0.90000000,7.62000000,2.36374068,1866.00000000,4410.74023438,38.00000000,12.62071133,7.01280022
262192,0.90000000,7.68000000,2.23434353,1866.00000000,4169.28515625,41.00000000,15.39915657,9.92520046
262193,0.90000000,7.74000000,2.09881854,1866.00000000,3916.39550781,36.00000000,9.48387241,3.86640000
327685,0.96000000,5.10000000,1.07822347,1866.00000000,2011.96496582,82.00000000,31.09652328,14.74199963
327686,0.96000000,5.16000000,1.03408957,1866.00000000,1929.61120605,93.00000000,42.51575089,30.87000084
327687,0.96000000,5.22000000,1.07816732,1866.00000000,2011.86022949,92.00000000,40.63651276,29.82239914
327688,0.96000000,5.28000000,1.14467895,1866.00000000,2135.97094727,79.00000000,25.27159882,11.44799995
327689,0.96000000,5.34000000,1.22905612,1866.00000000,2293.41870117,78.00000000,24.21743011,9.89280033
327690,0.96000000,5.40000000,1.31505644,1866.00000000,2453.89526367,77.00000000,25.10808182,10.59119987
327691,0.96000000,5.46000000,1.46443748,1866.00000000,2732.64038086,72.00000000,24.31167793,9.95040035
327708,0.96000000,6.48000000,1.42769563,1866.00000000,2664.08007812,17.00000000,2.94843268,0.67320001
327709,0.96000000,6.54000000,1.30419934,1866.00000000,2433.63598633,24.00000000,5.55511475,2.25359988
327710,0.96000000,6.60000000,1.65079737,1866.00000000,3080.38793945,18.00000000,2.16292715,0.30960000
327711,0.96000000,6.66000000,1.74797666,1866.00000000,3261.72436523,17.00000000,2.03593516,0.28080001
327712,0.96000000,6.72000000,1.67724526,1866.00000000,3129.73974609,14.00000000,1.87148988,0.31320000
327713,0.96000000,6.78000000,1.41078401,1866.00000000,2632.52294922,15.00000000,2.47276974,0.51480001
327718,0.96000000,7.08000000,2.07752323,1866.00000000,3876.65844727,31.00000000,6.45135498,1.68840003
327719,0.96000000,7.14000000,1.95906770,1866.00000000,3655.62036133,42.00000000,16.19852829,11.06639957
327720,0.96000000,7.20000000,1.94578063,1866.00000000,3630.82666016,29.00000000,5.60568905,1.35360003
327722,0.96000000,7.32000000,3.59484982,1866.00000000,6707.98974609,32.00000000,6.22177839,1.48679996
